page,mode,dpi,proc,input_px,box_thr,text_thr,tile,overlap,nms_iou,tiles,raw,kept,anchors,hit,recall,clusters,clean,merged,spurious,mean_score,sec,postproc,err,overlay,tag,human_label,human_correct
15,single,300,defxdef,1236x800,0.12,0.1,,,,1,6,5,1,1,1.0,5,1,0,4,0.284,1.0,grounded,,dino_lab_runs\20260920_124756\p15_single_dpi300_box0.12_txt0.1_procDEFAULT.jpg,p15_single_dpi300_box0.12_txt0.1_procDEFAULT,correct,1.0
16,tiled,300,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,157,20,2,0,0.0,20,0,0,20,0.184,3.3,grounded,,dino_lab_runs\20260920_124756\p16_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p16_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
16,tiled,300,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,6,89,14,2,0,0.0,14,0,0,14,0.219,3.3,grounded,,dino_lab_runs\20260920_124756\p16_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p16_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
16,single,300,defxdef,1236x800,0.08,0.1,,,,1,29,26,2,0,0.0,26,0,0,26,0.146,1.1,grounded,,dino_lab_runs\20260920_124756\p16_single_dpi300_box0.08_txt0.1_procDEFAULT.jpg,p16_single_dpi300_box0.08_txt0.1_procDEFAULT,correct,1.0
16,single,300,defxdef,1236x800,0.12,0.1,,,,1,12,10,2,0,0.0,10,0,0,10,0.222,0.9,grounded,,dino_lab_runs\20260920_124756\p16_single_dpi300_box0.12_txt0.1_procDEFAULT.jpg,p16_single_dpi300_box0.12_txt0.1_procDEFAULT,correct,1.0
17,tiled,300,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,132,14,2,0,0.0,14,0,0,14,0.193,2.7,grounded,,dino_lab_runs\20260920_124756\p17_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p17_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
17,tiled,300,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,6,68,11,2,0,0.0,11,0,0,11,0.214,2.8,grounded,,dino_lab_runs\20260920_124756\p17_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p17_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
17,single,300,defxdef,1236x800,0.08,0.1,,,,1,27,24,2,1,0.5,24,2,0,22,0.156,0.9,grounded,,dino_lab_runs\20260920_124756\p17_single_dpi300_box0.08_txt0.1_procDEFAULT.jpg,p17_single_dpi300_box0.08_txt0.1_procDEFAULT,wrong,0.0
17,single,300,defxdef,1236x800,0.12,0.1,,,,1,19,17,2,1,0.5,17,1,0,16,0.181,0.9,grounded,,dino_lab_runs\20260920_124756\p17_single_dpi300_box0.12_txt0.1_procDEFAULT.jpg,p17_single_dpi300_box0.12_txt0.1_procDEFAULT,correct,1.0
18,tiled,300,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,166,19,3,2,0.667,19,2,0,17,0.203,2.8,grounded,,dino_lab_runs\20260920_124756\p18_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p18_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
18,tiled,300,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,6,87,14,3,1,0.333,14,1,0,13,0.238,2.9,grounded,,dino_lab_runs\20260920_124756\p18_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p18_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
18,single,300,defxdef,1236x800,0.08,0.1,,,,1,31,29,3,3,1.0,29,5,1,23,0.143,0.9,grounded,,dino_lab_runs\20260920_124756\p18_single_dpi300_box0.08_txt0.1_procDEFAULT.jpg,p18_single_dpi300_box0.08_txt0.1_procDEFAULT,correct,1.0
18,single,300,defxdef,1236x800,0.12,0.1,,,,1,16,15,3,2,0.667,15,0,1,14,0.189,0.9,grounded,,dino_lab_runs\20260920_124756\p18_single_dpi300_box0.12_txt0.1_procDEFAULT.jpg,p18_single_dpi300_box0.12_txt0.1_procDEFAULT,correct,1.0
19,tiled,300,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,116,14,1,0,0.0,14,0,0,14,0.184,2.8,grounded,,dino_lab_runs\20260920_124756\p19_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p19_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
19,tiled,300,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,6,67,9,1,0,0.0,9,0,0,9,0.243,2.9,grounded,,dino_lab_runs\20260920_124756\p19_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p19_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
19,single,300,defxdef,1236x800,0.08,0.1,,,,1,20,18,1,1,1.0,18,1,0,17,0.175,1.0,grounded,,dino_lab_runs\20260920_124756\p19_single_dpi300_box0.08_txt0.1_procDEFAULT.jpg,p19_single_dpi300_box0.08_txt0.1_procDEFAULT,wrong,0.0
19,single,300,defxdef,1236x800,0.12,0.1,,,,1,13,12,1,0,0.0,12,0,0,12,0.212,1.0,grounded,,dino_lab_runs\20260920_124756\p19_single_dpi300_box0.12_txt0.1_procDEFAULT.jpg,p19_single_dpi300_box0.12_txt0.1_procDEFAULT,wrong,0.0
20,tiled,300,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,114,13,1,0,0.0,13,0,0,13,0.211,2.9,grounded,,dino_lab_runs\20260920_124756\p20_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p20_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,correct,1.0
