timestamp,tag,page,mode,dpi,proc,input_px,box_thr,text_thr,tile,overlap,nms_iou,anchors,kept,hit,recall,clean,merged,spurious,label
2026-09-19T15:30:24,p27_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,27,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,6,35,6,1.0,0,4,31,wrong
2026-09-19T15:30:27,p27_single_dpi200_box0.08_txt0.1_procDEFAULT,27,single,200,defxdef,1120x800,0.08,0.1,,,,6,18,2,0.333,0,1,17,wrong
2026-09-19T15:30:28,p27_single_dpi200_box0.12_txt0.1_procDEFAULT,27,single,200,defxdef,1120x800,0.12,0.1,,,,6,10,0,0.0,0,0,10,correct
2026-09-19T15:30:32,p28_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,28,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,41,6,1.0,3,4,34,wrong
2026-09-19T15:30:33,p28_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,28,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,6,35,6,1.0,2,4,29,wrong
2026-09-19T15:30:36,p28_single_dpi200_box0.08_txt0.1_procDEFAULT,28,single,200,defxdef,1120x800,0.08,0.1,,,,6,14,6,1.0,0,2,12,wrong
2026-09-19T15:31:29,p28_single_dpi200_box0.12_txt0.1_procDEFAULT,28,single,200,defxdef,1120x800,0.12,0.1,,,,6,10,0,0.0,0,0,10,correct
2026-09-19T15:31:37,p29_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,29,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,5,44,5,1.0,5,3,36,wrong
2026-09-19T15:31:40,p29_single_dpi200_box0.08_txt0.1_procDEFAULT,29,single,200,defxdef,1120x800,0.08,0.1,,,,5,22,2,0.4,0,1,21,wrong
2026-09-19T15:31:43,p29_single_dpi200_box0.12_txt0.1_procDEFAULT,29,single,200,defxdef,1120x800,0.12,0.1,,,,5,12,0,0.0,0,0,12,wrong
2026-09-19T15:34:39,p30_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,30,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,10,47,10,1.0,9,3,35,wrong
2026-09-19T15:34:40,p30_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,30,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,10,38,10,1.0,7,3,28,correct
2026-09-19T15:34:41,p30_single_dpi200_box0.08_txt0.1_procDEFAULT,30,single,200,defxdef,1120x800,0.08,0.1,,,,10,18,2,0.2,2,0,16,correct
2026-09-19T15:34:45,p30_single_dpi200_box0.12_txt0.1_procDEFAULT,30,single,200,defxdef,1120x800,0.12,0.1,,,,10,9,0,0.0,0,0,9,wrong
2026-09-19T15:36:35,p31_single_dpi200_box0.08_txt0.1_procDEFAULT,31,single,200,defxdef,1120x800,0.08,0.1,,,,7,23,0,0.0,0,0,23,wrong
2026-09-19T15:36:39,p31_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,31,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,7,36,7,1.0,6,2,28,correct
2026-09-19T15:36:45,p31_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,31,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,7,45,7,1.0,6,3,36,correct
2026-09-19T15:36:50,p31_single_dpi200_box0.12_txt0.1_procDEFAULT,31,single,200,defxdef,1120x800,0.12,0.1,,,,7,15,0,0.0,0,0,15,wrong
2026-09-19T15:37:19,p32_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,32,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,26,49,26,1.0,8,6,35,correct
2026-09-19T15:37:20,p32_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,32,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,26,38,26,1.0,3,6,29,correct
2026-09-19T15:37:21,p32_single_dpi200_box0.08_txt0.1_procDEFAULT,32,single,200,defxdef,1120x800,0.08,0.1,,,,26,11,1,0.038,1,0,10,wrong
2026-09-19T15:37:28,p32_single_dpi200_box0.12_txt0.1_procDEFAULT,32,single,200,defxdef,1120x800,0.12,0.1,,,,26,1,0,0.0,0,0,1,wrong
2026-09-19T15:50:31,p33_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,33,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,5,49,5,1.0,5,2,42,wrong
2026-09-19T15:50:31,p33_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,33,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,5,32,5,1.0,5,2,25,wrong
2026-09-19T15:50:32,p33_single_dpi200_box0.08_txt0.1_procDEFAULT,33,single,200,defxdef,1120x800,0.08,0.1,,,,5,21,1,0.2,1,0,20,correct
2026-09-19T15:50:36,p33_single_dpi200_box0.12_txt0.1_procDEFAULT,33,single,200,defxdef,1120x800,0.12,0.1,,,,5,13,0,0.0,0,0,13,correct
